Team,PA,Events,EV,maxEV,LA,Barrels,Barrel,HardHit,HardHit,AVG,xBA,SLG,xSLG,wOBA,xwOBA
LAA,6145,4024,89.32938199429900,118.586,13.663680899296700,363,0.0902,1601,0.3979,0.245217708,,0.426124977,,0.3199747350643540,
BAL,6123,4196,89.40125613966940,114.596,13.448539835967700,333,0.0794,1705,0.4063,0.254595086,,0.420928116,,0.32045679063021200,
BOS,6174,4245,89.13713472023060,115.043,12.346662382819500,318,0.0749,1698,0.4,0.258360302,,0.424307802,,0.3236912914684840,
CHW,5980,4127,88.55046531707200,118.236,10.710165811677500,297,0.072,1547,0.3748,0.23777495,,0.383748409,,0.29247736565593100,
CLE,6096,4428,87.48577079161900,114.382,11.710706080265300,228,0.0515,1457,0.329,0.250136042,,0.381461998,,0.30151565327818700,
DET,6080,4050,89.08093584200280,114.402,13.281867828483500,322,0.0795,1625,0.4012,0.2358525,,0.381526104,,0.2998401724402470,
KCR,5985,4107,89.3585220942153,113.848,13.438232286708600,334,0.0813,1681,0.4093,0.244104642,,0.397568165,,0.30290378514074300,
MIN,6219,3879,89.39302509014420,117.353,14.457674907377300,397,0.1023,1603,0.4133,0.243395882,,0.427582437,,0.32666124916861900,
NYY,5973,3942,89.75786559308160,119.479,13.010133458454100,364,0.0923,1640,0.416,0.226751831,,0.397332331,,0.3044883006756000,
OAK,5966,3887,88.18293078414010,113.911,12.926848993705600,281,0.0723,1360,0.3499,0.223498399,,0.370363396,,0.29316751985744900,
SEA,6201,3939,89.30226445886220,116.662,15.029453024313800,380,0.0965,1621,0.4115,0.242181818,,0.412545454,,0.31927006825472100,
TBR,6164,4135,89.42695727652400,114.462,12.443811263693600,343,0.083,1680,0.4063,0.259843948,,0.444928325,,0.3352108218576480,
TEX,6306,4238,89.7984696304017,115.23,14.249892920397200,385,0.0908,1755,0.4141,0.262734584,,0.452368185,,0.3396939926510580,
TOR,6220,4298,88.66502654633900,116.696,12.982988337806600,350,0.0814,1663,0.3869,0.255843221,,0.41657677,,0.32397465338378500,
ARI,6124,4279,88.8492425132826,117.061,10.797956229221000,267,0.0624,1629,0.3807,0.25,,0.408204562,,0.3169703776452050,
ATL,6249,4355,91.01821944520880,121.168,12.04332549897510,516,0.1185,1994,0.4579,0.275683401,,0.500804002,,0.35932813141719400,
CHC,6220,4182,88.7240987141927,114.611,12.405430914209400,320,0.0765,1602,0.3831,0.254178779,,0.420784883,,0.32576967958717100,
CIN,6195,4047,88.18937081088060,119.153,13.769554374203600,280,0.0692,1470,0.3632,0.249318057,,0.419530823,,0.32463946696926500,
COL,6055,4006,87.96712831269000,115.317,12.760811118617700,306,0.0764,1456,0.3635,0.248908296,,0.404657933,,0.30984417105274200,
MIA,6043,4276,88.91957668259930,115.766,10.20305734195270,305,0.0713,1620,0.3789,0.258868473,,0.404766236,,0.31217333170099200,
HOU,6253,4390,88.68820424259270,117.719,13.192811479324500,357,0.0813,1691,0.3852,0.258846775,,0.436680438,,0.3316407474639410,
LAD,6333,4245,89.20319871046580,112.651,15.474754798367200,388,0.0914,1719,0.4049,0.257422157,,0.454742939,,0.3411892523887560,
MIL,6084,4023,88.28459728639750,114.827,11.685005994502400,298,0.0741,1510,0.3753,0.23950984,,0.385072409,,0.308680283588473,
WSN,6085,4435,87.85608063686260,112.52,11.237156699044400,258,0.0582,1553,0.3502,0.253712423,,0.395689967,,0.30903967409267800,
NYM,6056,4093,89.4434133589459,117.296,13.333682666055500,339,0.0828,1633,0.399,0.237926533,,0.407234756,,0.31499043581138100,
PHI,6207,4118,89.5080064558297,115.739,13.176074153874800,357,0.0867,1672,0.406,0.255730012,,0.437827107,,0.329420273907665,
PIT,6089,4011,89.18639385803250,115.812,11.909732860417500,296,0.0738,1616,0.4029,0.23917869,,0.391971883,,0.30841800525198700,
STL,6204,4238,89.36082457768790,117.517,12.963857214243000,355,0.0838,1751,0.4132,0.249727767,,0.415789473,,0.32220912107192500,
SDP,6180,4159,89.25353441485330,115.267,13.200542433307800,351,0.0844,1633,0.3926,0.243658581,,0.413256804,,0.32321767908759000,
SFG,6095,3978,88.71306652091550,116.623,13.798336157802400,333,0.0837,1552,0.3901,0.234848484,,0.383407243,,0.30417806960104800,